CancerType,ENSG,cMDT,GeneName,Count,Total,Frequency
Prostate.Prost-AdenoCA,ENSG00000198546,ENST00000361518,ZNF511,19,19,1.00
Muscle.Bone-Leiomyo,ENSG00000075415,ENST00000552981,SLC25A3,34,34,1.00
CervixUteri.Cervix-SCC,ENSG00000140511,ENST00000359595,HAPLN3,18,18,1.00
Muscle.Bone-Leiomyo,ENSG00000101294,ENST00000340852,HM13,33,34,0.97
Muscle.Bone-Leiomyo,ENSG00000171992,ENST00000307662,SYNPO,32,34,0.94
CervixUteri.Cervix-SCC,ENSG00000170113,ENST00000337435,NIPA1,17,18,0.94
Uterus.Uterus-AdenoCA,ENSG00000107679,ENST00000433307,PLEKHA1,41,44,0.93
Bladder.Bladder-TCC,ENSG00000119523,ENST00000319033,ALG2,21,23,0.91
Bladder.Bladder-TCC,ENSG00000105426,ENST00000353284,PTPRS,21,23,0.91
Pancreas.Panc-AdenoCA,ENSG00000174194,ENST00000602930,AGAP8,67,75,0.89
Bladder.Bladder-TCC,ENSG00000129757,ENST00000380725,CDKN1C,20,23,0.87
Uterus.Uterus-AdenoCA,ENSG00000120756,ENST00000457734,PLS1,38,44,0.86
Muscle.Bone-Leiomyo,ENSG00000154553,ENST00000284771,PDLIM3,29,34,0.85
Muscle.Bone-Leiomyo,ENSG00000085415,ENST00000262124,SEH1L,29,34,0.85
Prostate.Prost-AdenoCA,ENSG00000072274,ENST00000360110,TFRC,16,19,0.84
Stomach.Stomach-AdenoCA,ENSG00000168994,ENST00000380283,PXDC1,24,29,0.83
Bladder.Bladder-TCC,ENSG00000010327,ENST00000469989,STAB1,19,23,0.83
Muscle.Bone-Leiomyo,ENSG00000126453,ENST00000246785,BCL2L12,28,34,0.82
Muscle.Bone-Leiomyo,ENSG00000067225,ENST00000335181,PKM,28,34,0.82
Pancreas.Panc-AdenoCA,ENSG00000152463,ENST00000429028,OLAH,59,75,0.79
Muscle.Bone-Leiomyo,ENSG00000111667,ENST00000389231,USP5,27,34,0.79
Bladder.Bladder-TCC,ENSG00000162576,ENST00000342753,MXRA8,18,23,0.78
Bladder.Bladder-TCC,ENSG00000066468,ENST00000369061,FGFR2,18,23,0.78
Stomach.Stomach-AdenoCA,ENSG00000131668,ENST00000253968,BARX1,22,29,0.76
Pancreas.Panc-AdenoCA,ENSG00000104177,ENST00000561151,MYEF2,57,75,0.76
Muscle.Bone-Leiomyo,ENSG00000198467,ENST00000329305,TPM2,26,34,0.76
Blood.Lymph-CLL,ENSG00000136003,ENST00000392807,ISCU,52,68,0.76
Pancreas.Panc-AdenoCA,ENSG00000219073,ENST00000374666,CELA3B,56,75,0.75
Muscle.Bone-Leiomyo,ENSG00000131069,ENST00000336325,ACSS2,25,34,0.74
Muscle.Bone-Leiomyo,ENSG00000128591,ENST00000325888,FLNC,25,34,0.74
Pancreas.Panc-AdenoCA,ENSG00000164604,ENST00000424100,GPR85,55,75,0.73
Muscle.Bone-Leiomyo,ENSG00000072195,ENST00000396689,SPEG,24,34,0.71
Muscle.Bone-Leiomyo,ENSG00000067191,ENST00000394303,CACNB1,24,34,0.71
Ovary.Ovary-AdenoCA,ENSG00000234906,ENST00000252490,APOC2,77,110,0.70
Blood.Lymph-CLL,ENSG00000235568,ENST00000355469,NFAM1,47,68,0.69
Prostate.Prost-AdenoCA,ENSG00000106617,ENST00000287878,PRKAG2,13,19,0.68
Ovary.Ovary-AdenoCA,ENSG00000167964,ENST00000210187,RAB26,75,110,0.68
Ovary.Ovary-AdenoCA,ENSG00000154274,ENST00000381980,C4orf19,75,110,0.68
Muscle.Bone-Leiomyo,ENSG00000162614,ENST00000330010,NEXN,23,34,0.68
Pancreas.Panc-AdenoCA,ENSG00000196993,ENST00000357796,NPIPB9,50,75,0.67
CervixUteri.Cervix-SCC,ENSG00000156384,ENST00000369727,SFR1,12,18,0.67
Pancreas.Panc-AdenoCA,ENSG00000168876,ENST00000302755,ANKRD49,49,75,0.65
Blood.Lymph-CLL,ENSG00000131981,ENST00000554715,LGALS3,44,68,0.65
Prostate.Prost-AdenoCA,ENSG00000166037,ENST00000325542,CEP57,12,19,0.63
Pancreas.Panc-AdenoCA,ENSG00000165124,ENST00000374469,SVEP1,47,75,0.63
Ovary.Ovary-AdenoCA,ENSG00000196466,ENST00000430385,ZNF799,69,110,0.63
Muscle.Bone-Leiomyo,ENSG00000243335,ENST00000275532,KCTD7,21,34,0.62
Muscle.Bone-Leiomyo,ENSG00000143164,ENST00000312263,DCAF6,21,34,0.62
Pancreas.Panc-AdenoCA,ENSG00000077585,ENST00000366592,GPR137B,46,75,0.61
CervixUteri.Cervix-SCC,ENSG00000263812,ENST00000582452,LINC00908,11,18,0.61
CervixUteri.Cervix-SCC,ENSG00000197182,ENST00000381051,FLJ27365,11,18,0.61
CervixUteri.Cervix-SCC,ENSG00000163959,ENST00000296327,SLC51A,11,18,0.61
Bladder.Bladder-TCC,ENSG00000171346,ENST00000393976,KRT15,14,23,0.61
Bladder.Bladder-TCC,ENSG00000006744,ENST00000395962,ELAC2,14,23,0.61
Ovary.Ovary-AdenoCA,ENSG00000183248,ENST00000539422,CTD-3193O13.9,66,110,0.60
Uterus.Uterus-AdenoCA,ENSG00000167536,ENST00000426464,DHRS13,26,44,0.59
Pancreas.Panc-AdenoCA,ENSG00000104833,ENST00000594290,TUBB4A,44,75,0.59
Muscle.Bone-Leiomyo,ENSG00000204991,ENST00000378247,SPIRE2,20,34,0.59
Muscle.Bone-Leiomyo,ENSG00000077549,ENST00000401084,CAPZB,20,34,0.59
Uterus.Uterus-AdenoCA,ENSG00000179152,ENST00000383746,TCAIM,25,44,0.57
Bladder.Bladder-TCC,ENSG00000170473,ENST00000398213,WIBG,13,23,0.57
Bladder.Bladder-TCC,ENSG00000135677,ENST00000418919,GNS,13,23,0.57
Ovary.Ovary-AdenoCA,ENSG00000172663,ENST00000308022,TMEM134,62,110,0.56
Blood.Lymph-BNHL,ENSG00000159640,ENST00000290866,ACE,57,103,0.55
Uterus.Uterus-AdenoCA,ENSG00000153904,ENST00000284031,DDAH1,23,44,0.52
Bladder.Bladder-TCC,ENSG00000137745,ENST00000260302,MMP13,12,23,0.52
Kidney.Kidney-ChRCC,ENSG00000196345,ENST00000431636,ZKSCAN7,22,43,0.51
Blood.Lymph-CLL,ENSG00000205581,ENST00000361263,HMGN1,35,68,0.51
Ovary.Ovary-AdenoCA,ENSG00000268790,ENST00000594509,CTC-429P9.4,55,110,0.50
Ovary.Ovary-AdenoCA,ENSG00000065361,ENST00000267101,ERBB3,55,110,0.50
Muscle.Bone-Leiomyo,ENSG00000197226,ENST00000355235,TBC1D9B,17,34,0.50
Muscle.Bone-Leiomyo,ENSG00000151917,ENST00000370746,BEND6,17,34,0.50
Pancreas.Panc-AdenoCA,ENSG00000243335,ENST00000451741,KCTD7,37,75,0.49
Kidney.Kidney-ChRCC,ENSG00000126217,ENST00000375604,MCF2L,21,43,0.49
Stomach.Stomach-AdenoCA,ENSG00000176444,ENST00000368361,CLK2,14,29,0.48
Ovary.Ovary-AdenoCA,ENSG00000196776,ENST00000361309,CD47,53,110,0.48
Bladder.Bladder-TCC,ENSG00000143093,ENST00000369796,STRIP1,11,23,0.48
Prostate.Prost-AdenoCA,ENSG00000160050,ENST00000373602,CCDC28B,9,19,0.47
Ovary.Ovary-AdenoCA,ENSG00000186496,ENST00000589332,ZNF396,52,110,0.47
Muscle.Bone-Leiomyo,ENSG00000182606,ENST00000327628,TRAK1,16,34,0.47
Uterus.Uterus-AdenoCA,ENSG00000049759,ENST00000589054,NEDD4L,20,44,0.45
Thyroid.Thy-AdenoCA,ENSG00000105443,ENST00000391881,CYTH2,21,47,0.45
Pancreas.Panc-AdenoCA,ENSG00000144802,ENST00000483180,NFKBIZ,34,75,0.45
Kidney.Kidney-RCC,ENSG00000162390,ENST00000371316,ACOT11,51,117,0.44
CervixUteri.Cervix-SCC,ENSG00000203995,ENST00000371528,ZYG11A,8,18,0.44
CervixUteri.Cervix-SCC,ENSG00000115310,ENST00000394609,RTN4,8,18,0.44
Blood.Lymph-CLL,ENSG00000100385,ENST00000429622,IL2RB,30,68,0.44
Uterus.Uterus-AdenoCA,ENSG00000008323,ENST00000011684,PLEKHG6,19,44,0.43
Pancreas.Panc-AdenoCA,ENSG00000066382,ENST00000448418,MPPED2,32,75,0.43
Ovary.Ovary-AdenoCA,ENSG00000254685,ENST00000370898,FPGT,47,110,0.43
Bladder.Bladder-TCC,ENSG00000198492,ENST00000541996,YTHDF2,10,23,0.43
Bladder.Bladder-TCC,ENSG00000198064,ENST00000543463,RP11-347C12.1,10,23,0.43
Bladder.Bladder-TCC,ENSG00000181625,ENST00000351581,SLX1B,10,23,0.43
Bladder.Bladder-TCC,ENSG00000133872,ENST00000518174,TMEM66,10,23,0.43
Bladder.Bladder-TCC,ENSG00000131504,ENST00000448451,DIAPH1,10,23,0.43
Prostate.Prost-AdenoCA,ENSG00000187098,ENST00000352241,MITF,8,19,0.42
Kidney.Kidney-ChRCC,ENSG00000198542,ENST00000490242,ITGBL1,18,43,0.42
Uterus.Uterus-AdenoCA,ENSG00000022267,ENST00000539015,FHL1,18,44,0.41
Stomach.Stomach-AdenoCA,ENSG00000141664,ENST00000269499,ZCCHC2,12,29,0.41
Pancreas.Panc-AdenoCA,ENSG00000198753,ENST00000361971,PLXNB3,31,75,0.41
Pancreas.Panc-AdenoCA,ENSG00000165046,ENST00000519476,LETM2,31,75,0.41
Pancreas.Panc-AdenoCA,ENSG00000073536,ENST00000586869,NLE1,31,75,0.41
CervixUteri.Cervix-SCC,ENSG00000241360,ENST00000403251,PDXP,7,18,0.39
CervixUteri.Cervix-SCC,ENSG00000134330,ENST00000470914,IAH1,7,18,0.39
CervixUteri.Cervix-SCC,ENSG00000064270,ENST00000262429,ATP2C2,7,18,0.39
Brain.CNS-Oligo,ENSG00000151575,ENST00000537232,TEX9,7,18,0.39
Brain.CNS-Oligo,ENSG00000061938,ENST00000428187,TNK2,7,18,0.39
Bladder.Bladder-TCC,ENSG00000213079,ENST00000367186,SCAF8,9,23,0.39
Bladder.Bladder-TCC,ENSG00000198839,ENST00000361946,ZNF277,9,23,0.39
Bladder.Bladder-TCC,ENSG00000196305,ENST00000447699,IARS,9,23,0.39
Bladder.Bladder-TCC,ENSG00000127084,ENST00000375482,FGD3,9,23,0.39
Stomach.Stomach-AdenoCA,ENSG00000127831,ENST00000392114,VIL1,11,29,0.38
Muscle.Bone-Leiomyo,ENSG00000180398,ENST00000319466,MCFD2,13,34,0.38
Muscle.Bone-Leiomyo,ENSG00000138459,ENST00000261034,SLC35A5,13,34,0.38
Blood.Lymph-CLL,ENSG00000198561,ENST00000531007,CTNND1,26,68,0.38
Prostate.Prost-AdenoCA,ENSG00000167699,ENST00000301329,GLOD4,7,19,0.37
Prostate.Prost-AdenoCA,ENSG00000108984,ENST00000589647,MAP2K6,7,19,0.37
Pancreas.Panc-AdenoCA,ENSG00000175920,ENST00000507039,DOK7,28,75,0.37
Pancreas.Panc-AdenoCA,ENSG00000109670,ENST00000604872,FBXW7,28,75,0.37
Uterus.Uterus-AdenoCA,ENSG00000176153,ENST00000389614,GPX2,16,44,0.36
Uterus.Uterus-AdenoCA,ENSG00000092068,ENST00000339733,SLC7A8,16,44,0.36
Pancreas.Panc-AdenoCA,ENSG00000177951,ENST00000410108,BET1L,27,75,0.36
Pancreas.Panc-AdenoCA,ENSG00000164542,ENST00000317020,KIAA0895,27,75,0.36
Brain.CNS-GBM,ENSG00000119004,ENST00000356079,CYP20A1,10,28,0.36
Muscle.Bone-Leiomyo,ENSG00000196296,ENST00000563975,ATP2A1,12,34,0.35
Muscle.Bone-Leiomyo,ENSG00000187764,ENST00000438547,SEMA4D,12,34,0.35
Muscle.Bone-Leiomyo,ENSG00000137343,ENST00000376485,ATAT1,12,34,0.35
Muscle.Bone-Leiomyo,ENSG00000125637,ENST00000245796,PSD4,12,34,0.35
Muscle.Bone-Leiomyo,ENSG00000102225,ENST00000276052,CDK16,12,34,0.35
Muscle.Bone-Leiomyo,ENSG00000092529,ENST00000397200,CAPN3,12,34,0.35
Kidney.Kidney-RCC,ENSG00000006634,ENST00000265728,DBF4,41,117,0.35
Kidney.Kidney-ChRCC,ENSG00000174527,ENST00000310903,MYO1H,15,43,0.35
Bladder.Bladder-TCC,ENSG00000152558,ENST00000361236,TMEM123,8,23,0.35
Bladder.Bladder-TCC,ENSG00000138439,ENST00000392238,FAM117B,8,23,0.35
Bladder.Bladder-TCC,ENSG00000136295,ENST00000403167,TTYH3,8,23,0.35
Bladder.Bladder-TCC,ENSG00000130726,ENST00000597136,TRIM28,8,23,0.35
Bladder.Bladder-TCC,ENSG00000117411,ENST00000434555,B4GALT2,8,23,0.35
Uterus.Uterus-AdenoCA,ENSG00000135597,ENST00000478483,REPS1,15,44,0.34
Ovary.Ovary-AdenoCA,ENSG00000184792,ENST00000332585,OSBP2,37,110,0.34
Ovary.Ovary-AdenoCA,ENSG00000154359,ENST00000398246,LONRF1,37,110,0.34
Ovary.Ovary-AdenoCA,ENSG00000013297,ENST00000486975,CLDN11,37,110,0.34
Ovary.Ovary-AdenoCA,ENSG00000122912,ENST00000539557,SLC25A16,36,110,0.33
CervixUteri.Cervix-SCC,ENSG00000186818,ENST00000430952,LILRB4,6,18,0.33
CervixUteri.Cervix-SCC,ENSG00000116903,ENST00000366645,EXOC8,6,18,0.33
CervixUteri.Cervix-SCC,ENSG00000075790,ENST00000491150,BCAP29,6,18,0.33
Brain.CNS-Oligo,ENSG00000100678,ENST00000356921,SLC8A3,6,18,0.33
Uterus.Uterus-AdenoCA,ENSG00000104884,ENST00000391945,ERCC2,14,44,0.32
Uterus.Uterus-AdenoCA,ENSG00000071794,ENST00000465259,HLTF,14,44,0.32
Prostate.Prost-AdenoCA,ENSG00000204514,ENST00000596604,ZNF814,6,19,0.32
Prostate.Prost-AdenoCA,ENSG00000171469,ENST00000302851,ZNF561,6,19,0.32
Prostate.Prost-AdenoCA,ENSG00000157426,ENST00000205214,AASDH,6,19,0.32
Muscle.Bone-Leiomyo,ENSG00000170049,ENST00000303790,KCNAB3,11,34,0.32
Pancreas.Panc-AdenoCA,ENSG00000187555,ENST00000381886,USP7,23,75,0.31
Pancreas.Panc-AdenoCA,ENSG00000186275,ENST00000447862,NBPF12,23,75,0.31
Pancreas.Panc-AdenoCA,ENSG00000163904,ENST00000545472,SENP2,23,75,0.31
Pancreas.Panc-AdenoCA,ENSG00000144407,ENST00000419079,PTH2R,23,75,0.31
Kidney.Kidney-RCC,ENSG00000100075,ENST00000451283,SLC25A1,36,117,0.31
Kidney.Kidney-ChRCC,ENSG00000114279,ENST00000454309,FGF12,13,43,0.30
Bladder.Bladder-TCC,ENSG00000167895,ENST00000589691,TMC8,7,23,0.30
Bladder.Bladder-TCC,ENSG00000167535,ENST00000547230,CACNB3,7,23,0.30
Bladder.Bladder-TCC,ENSG00000163625,ENST00000322366,WDFY3,7,23,0.30
Bladder.Bladder-TCC,ENSG00000120708,ENST00000508076,TGFBI,7,23,0.30
Bladder.Bladder-TCC,ENSG00000104549,ENST00000523430,SQLE,7,23,0.30
Bladder.Bladder-TCC,ENSG00000103549,ENST00000602784,RNF40,7,23,0.30
Bladder.Bladder-TCC,ENSG00000063978,ENST00000541204,RNF4,7,23,0.30
Ovary.Ovary-AdenoCA,ENSG00000205021,ENST00000422211,CCL3L1,32,110,0.29
Muscle.Bone-Leiomyo,ENSG00000105519,ENST00000222125,CAPS,10,34,0.29
Muscle.Bone-Leiomyo,ENSG00000089597,ENST00000532402,GANAB,10,34,0.29
Blood.Lymph-CLL,ENSG00000077721,ENST00000371569,UBE2A,20,68,0.29
Stomach.Stomach-AdenoCA,ENSG00000182985,ENST00000452722,CADM1,8,29,0.28
Stomach.Stomach-AdenoCA,ENSG00000140332,ENST00000557997,TLE3,8,29,0.28
Pancreas.Panc-AdenoCA,ENSG00000175868,ENST00000533448,CALCB,21,75,0.28
Pancreas.Panc-AdenoCA,ENSG00000150672,ENST00000376104,DLG2,21,75,0.28
Pancreas.Panc-AdenoCA,ENSG00000132680,ENST00000368321,KIAA0907,21,75,0.28
Pancreas.Panc-AdenoCA,ENSG00000128510,ENST00000445470,CPA4,21,75,0.28
Kidney.Kidney-ChRCC,ENSG00000205336,ENST00000567835,GPR56,12,43,0.28
CervixUteri.Cervix-SCC,ENSG00000233024,ENST00000545114,NPIPA7,5,18,0.28
Brain.CNS-Oligo,ENSG00000133083,ENST00000379892,DCLK1,5,18,0.28
Blood.Lymph-CLL,ENSG00000197448,ENST00000479303,GSTK1,19,68,0.28
Blood.Lymph-CLL,ENSG00000178127,ENST00000400033,NDUFV2,19,68,0.28
Uterus.Uterus-AdenoCA,ENSG00000133619,ENST00000485033,KRBA1,12,44,0.27
Uterus.Uterus-AdenoCA,ENSG00000111412,ENST00000547606,C12orf49,12,44,0.27
Uterus.Uterus-AdenoCA,ENSG00000003249,ENST00000002501,DBNDD1,12,44,0.27
Pancreas.Panc-AdenoCA,ENSG00000167614,ENST00000472198,TTYH1,20,75,0.27
Pancreas.Panc-AdenoCA,ENSG00000154358,ENST00000366706,OBSCN,20,75,0.27
Pancreas.Panc-AdenoCA,ENSG00000127603,ENST00000361689,MACF1,20,75,0.27
Colon.ColoRect-AdenoCA,ENSG00000142185,ENST00000300481,TRPM2,14,51,0.27
Ovary.Ovary-AdenoCA,ENSG00000136490,ENST00000583211,LIMD2,29,110,0.26
Muscle.Bone-Leiomyo,ENSG00000185482,ENST00000554578,STAC3,9,34,0.26
Kidney.Kidney-RCC,ENSG00000124313,ENST00000375368,IQSEC2,30,117,0.26
Kidney.Kidney-ChRCC,ENSG00000267270,ENST00000589574,AC139100.2,11,43,0.26
Bladder.Bladder-TCC,ENSG00000172046,ENST00000398896,USP19,6,23,0.26
Bladder.Bladder-TCC,ENSG00000166037,ENST00000541150,CEP57,6,23,0.26
Bladder.Bladder-TCC,ENSG00000159461,ENST00000492830,AMFR,6,23,0.26
Bladder.Bladder-TCC,ENSG00000126107,ENST00000372168,HECTD3,6,23,0.26
Bladder.Bladder-TCC,ENSG00000125505,ENST00000437868,MBOAT7,6,23,0.26
Bladder.Bladder-TCC,ENSG00000112561,ENST00000406563,TFEB,6,23,0.26
Bladder.Bladder-TCC,ENSG00000110330,ENST00000532672,BIRC2,6,23,0.26
Bladder.Bladder-TCC,ENSG00000107104,ENST00000382289,KANK1,6,23,0.26
Bladder.Bladder-TCC,ENSG00000106123,ENST00000411471,EPHB6,6,23,0.26
Bladder.Bladder-TCC,ENSG00000099998,ENST00000425408,GGT5,6,23,0.26
Bladder.Bladder-TCC,ENSG00000075292,ENST00000409407,ZNF638,6,23,0.26
Pancreas.Panc-AdenoCA,ENSG00000142494,ENST00000270570,SLC47A1,19,75,0.25
Pancreas.Panc-AdenoCA,ENSG00000137843,ENST00000558878,PAK6,19,75,0.25
Ovary.Ovary-AdenoCA,ENSG00000141198,ENST00000536554,TOM1L1,27,110,0.25
Colon.ColoRect-AdenoCA,ENSG00000235162,ENST00000552457,C12orf75,13,51,0.25
Colon.ColoRect-AdenoCA,ENSG00000119242,ENST00000545891,CCDC92,13,51,0.25
Brain.CNS-GBM,ENSG00000164402,ENST00000448933,SEPT8,7,28,0.25
Brain.CNS-GBM,ENSG00000123560,ENST00000361621,PLP1,7,28,0.25
Brain.CNS-GBM,ENSG00000066923,ENST00000317296,STAG3,7,28,0.25
Pancreas.Panc-AdenoCA,ENSG00000090061,ENST00000557441,CCNK,18,75,0.24
Ovary.Ovary-AdenoCA,ENSG00000154978,ENST00000285279,VOPP1,26,110,0.24
Muscle.Bone-Leiomyo,ENSG00000165995,ENST00000324631,CACNB2,8,34,0.24
Muscle.Bone-Leiomyo,ENSG00000118004,ENST00000349077,COLEC11,8,34,0.24
Muscle.Bone-Leiomyo,ENSG00000070756,ENST00000520868,PABPC1,8,34,0.24
Blood.Lymph-CLL,ENSG00000141526,ENST00000583025,SLC16A3,16,68,0.24
Uterus.Uterus-AdenoCA,ENSG00000181577,ENST00000336600,C6orf223,10,44,0.23
Uterus.Uterus-AdenoCA,ENSG00000115084,ENST00000420066,SLC35F5,10,44,0.23
Uterus.Uterus-AdenoCA,ENSG00000100926,ENST00000529332,TM9SF1,10,44,0.23
Pancreas.Panc-AdenoCA,ENSG00000197013,ENST00000594385,ZNF429,17,75,0.23
Pancreas.Panc-AdenoCA,ENSG00000149527,ENST00000609981,PLCH2,17,75,0.23
Ovary.Ovary-AdenoCA,ENSG00000067836,ENST00000322048,ROGDI,25,110,0.23
Ovary.Ovary-AdenoCA,ENSG00000109670,ENST00000281708,FBXW7,24,110,0.22
Liver.Liver-HCC,ENSG00000082014,ENST00000356800,SMARCD3,22,100,0.22
Liver.Biliary-AdenoCA,ENSG00000158427,ENST00000569577,TMSB15B,4,18,0.22
Liver.Biliary-AdenoCA,ENSG00000141391,ENST00000587735,SLMO1,4,18,0.22
CervixUteri.Cervix-SCC,ENSG00000205436,ENST00000560304,EXOC3L4,4,18,0.22
CervixUteri.Cervix-SCC,ENSG00000139197,ENST00000266564,PEX5,4,18,0.22
CervixUteri.Cervix-SCC,ENSG00000087206,ENST00000509236,UIMC1,4,18,0.22
CervixUteri.Cervix-SCC,ENSG00000068078,ENST00000352904,FGFR3,4,18,0.22
CervixUteri.Cervix-SCC,ENSG00000013441,ENST00000409769,CLK1,4,18,0.22
Breast.Breast-AdenoCA,ENSG00000184343,ENST00000370101,SRPK3,19,85,0.22
Brain.CNS-Oligo,ENSG00000250588,ENST00000476809,IQCJ-SCHIP1,4,18,0.22
Brain.CNS-Oligo,ENSG00000250588,ENST00000337808,IQCJ-SCHIP1,4,18,0.22
Brain.CNS-Oligo,ENSG00000127980,ENST00000248633,PEX1,4,18,0.22
Blood.Lymph-CLL,ENSG00000087266,ENST00000503393,SH3BP2,15,68,0.22
Bladder.Bladder-TCC,ENSG00000196562,ENST00000495544,SULF2,5,23,0.22
Bladder.Bladder-TCC,ENSG00000166881,ENST00000379391,TMEM194A,5,23,0.22
Bladder.Bladder-TCC,ENSG00000165195,ENST00000542278,PIGA,5,23,0.22
Bladder.Bladder-TCC,ENSG00000164068,ENST00000433785,RNF123,5,23,0.22
Bladder.Bladder-TCC,ENSG00000163755,ENST00000460822,HPS3,5,23,0.22
Bladder.Bladder-TCC,ENSG00000163694,ENST00000381795,RBM47,5,23,0.22
Bladder.Bladder-TCC,ENSG00000140367,ENST00000426727,UBE2Q2,5,23,0.22
Bladder.Bladder-TCC,ENSG00000140326,ENST00000562465,CDAN1,5,23,0.22
Bladder.Bladder-TCC,ENSG00000136280,ENST00000541586,CCM2,5,23,0.22
Bladder.Bladder-TCC,ENSG00000136108,ENST00000378037,CKAP2,5,23,0.22
Bladder.Bladder-TCC,ENSG00000132305,ENST00000419070,IMMT,5,23,0.22
Bladder.Bladder-TCC,ENSG00000123505,ENST00000368876,AMD1,5,23,0.22
Bladder.Bladder-TCC,ENSG00000122203,ENST00000393725,KIAA1191,5,23,0.22
Bladder.Bladder-TCC,ENSG00000104081,ENST00000220446,BMF,5,23,0.22
Bladder.Bladder-TCC,ENSG00000103855,ENST00000559073,CD276,5,23,0.22
Bladder.Bladder-TCC,ENSG00000081014,ENST00000560508,AP4E1,5,23,0.22
Bladder.Bladder-TCC,ENSG00000070269,ENST00000556422,TMEM260,5,23,0.22
Bladder.Bladder-TCC,ENSG00000052126,ENST00000538972,PLEKHA5,5,23,0.22
Stomach.Stomach-AdenoCA,ENSG00000189337,ENST00000361144,KAZN,6,29,0.21
Stomach.Stomach-AdenoCA,ENSG00000158623,ENST00000330992,COPG2,6,29,0.21
Prostate.Prost-AdenoCA,ENSG00000156096,ENST00000305107,UGT2B4,4,19,0.21
Prostate.Prost-AdenoCA,ENSG00000140262,ENST00000333725,TCF12,4,19,0.21
Prostate.Prost-AdenoCA,ENSG00000136478,ENST00000584379,TEX2,4,19,0.21
Prostate.Prost-AdenoCA,ENSG00000049883,ENST00000380639,PTCD2,4,19,0.21
Pancreas.Panc-AdenoCA,ENSG00000186153,ENST00000408984,WWOX,16,75,0.21
Pancreas.Panc-AdenoCA,ENSG00000185088,ENST00000462430,RPS27L,16,75,0.21
Pancreas.Panc-AdenoCA,ENSG00000170927,ENST00000340994,PKHD1,16,75,0.21
Pancreas.Panc-AdenoCA,ENSG00000134258,ENST00000359008,VTCN1,16,75,0.21
Pancreas.Panc-AdenoCA,ENSG00000118997,ENST00000312428,DNAH7,16,75,0.21
Pancreas.Panc-AdenoCA,ENSG00000100626,ENST00000553471,GALNT16,16,75,0.21
Pancreas.Panc-AdenoCA,ENSG00000100503,ENST00000245441,NIN,16,75,0.21
Pancreas.Panc-AdenoCA,ENSG00000065621,ENST00000369707,GSTO2,16,75,0.21
Muscle.Bone-Leiomyo,ENSG00000182606,ENST00000396175,TRAK1,7,34,0.21
Muscle.Bone-Leiomyo,ENSG00000150401,ENST00000375403,DCUN1D2,7,34,0.21
Muscle.Bone-Leiomyo,ENSG00000140859,ENST00000465878,KIFC3,7,34,0.21
Kidney.Kidney-RCC,ENSG00000184908,ENST00000375667,CLCNKB,24,117,0.21
Kidney.Kidney-ChRCC,ENSG00000168878,ENST00000409383,SFTPB,9,43,0.21
Brain.CNS-GBM,ENSG00000126106,ENST00000372235,TMEM53,6,28,0.21
Blood.Lymph-CLL,ENSG00000173638,ENST00000417954,SLC19A1,14,68,0.21
Blood.Lymph-CLL,ENSG00000102804,ENST00000458659,TSC22D1,14,68,0.21
Pancreas.Panc-AdenoCA,ENSG00000206127,ENST00000562377,GOLGA8O,15,75,0.20
Pancreas.Panc-AdenoCA,ENSG00000172554,ENST00000452177,SNTG2,15,75,0.20
Pancreas.Panc-AdenoCA,ENSG00000138376,ENST00000455743,BARD1,15,75,0.20
Pancreas.Panc-AdenoCA,ENSG00000132938,ENST00000431530,MTUS2,15,75,0.20
Pancreas.Panc-AdenoCA,ENSG00000086205,ENST00000256999,FOLH1,15,75,0.20
Ovary.Ovary-AdenoCA,ENSG00000241697,ENST00000374879,TMEFF1,22,110,0.20
Ovary.Ovary-AdenoCA,ENSG00000184408,ENST00000425288,KCND2,22,110,0.20
Ovary.Ovary-AdenoCA,ENSG00000114346,ENST00000437296,ECT2,22,110,0.20
Kidney.Kidney-RCC,ENSG00000229809,ENST00000566632,ZNF688,23,117,0.20
Colon.ColoRect-AdenoCA,ENSG00000104432,ENST00000379113,IL7,10,51,0.20
Skin.Skin-Melanoma,ENSG00000161642,ENST00000394313,ZNF385A,7,36,0.19
Pancreas.Panc-AdenoCA,ENSG00000180263,ENST00000549499,FGD6,14,75,0.19
Pancreas.Panc-AdenoCA,ENSG00000172264,ENST00000402914,MACROD2,14,75,0.19
Kidney.Kidney-RCC,ENSG00000120616,ENST00000375110,EPC1,22,117,0.19
Kidney.Kidney-ChRCC,ENSG00000128655,ENST00000433879,PDE11A,8,43,0.19
Blood.Lymph-CLL,ENSG00000172586,ENST00000372837,CHCHD1,13,68,0.19
Blood.Lymph-CLL,ENSG00000138434,ENST00000440623,SSFA2,13,68,0.19
Uterus.Uterus-AdenoCA,ENSG00000243566,ENST00000443097,UPK3B,8,44,0.18
Uterus.Uterus-AdenoCA,ENSG00000198513,ENST00000556067,ATL1,8,44,0.18
Uterus.Uterus-AdenoCA,ENSG00000181827,ENST00000559447,RFX7,8,44,0.18
Uterus.Uterus-AdenoCA,ENSG00000153827,ENST00000418123,TRIP12,8,44,0.18
Uterus.Uterus-AdenoCA,ENSG00000109118,ENST00000589176,PHF12,8,44,0.18
Muscle.Bone-Leiomyo,ENSG00000260916,ENST00000568808,CCPG1,6,34,0.18
Muscle.Bone-Leiomyo,ENSG00000180900,ENST00000526832,SCRIB,6,34,0.18
